date,Filename,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
2017-08-17,Alkanes3uL0.01_08172017.qgd,NA,3.317,4.833,6.541,8.319,9.986,11.538,12.986,14.348,15.631,16.843,17.99,19.101,19.782,20.583,21.608,22.125,22.666,NA,23.872
2018-09-03,Alkanes3uL0.01Ipo_09032018.qgd,2.324,3.318,4.856,6.62,8.367,10.015,11.556,13,14.356,15.636,16.854,NA,19.121,19.796,20.712,21.645,22.156,22.736,23.31,NA
2019-06-20,Alk_3ul_0.01_MeOH_6202019_03.qgd,2.309,3.29,4.837,6.609,8.364,10.02,11.566,13.013,14.371,15.653,16.879,18.012,19.096,19.904,20.433,21.51,22.194,22.674,23.34,23.785
2019-07-23,ALK3uL0.01_7232019_11.qgd,2.206,3.266,4.896,6.73,8.513,10.178,NA,NA,NA,NA,17.019,NA,NA,19.937,20.656,21.576,NA,22.626,23.225,23.922
2019-07-25,ALK3uL0.01_7252019_15.qgd,NA,3.159,4.738,NA,8.322,NA,11.536,12.983,14.343,15.623,16.834,17.983,19.115,NA,20.601,21.653,22.16,22.699,23.203,23.918
2019-07-25,ALK3uL0.01_7252019_16.qgd,NA,NA,4.743,NA,8.317,NA,11.535,12.982,14.339,15.622,16.834,17.905,NA,19.932,20.6,21.639,22.145,22.686,23.295,23.902
2021-08-27,AlkanesHigh_8272021_01.qgd,NA,NA,4.711,6.516,8.287,10.025,11.513,13.007,14.333,15.618,16.828,18.028,19.082,19.73,20.562,21.58,22.114,22.651,23.253,23.953
2021-08-27,Alkanes_8272021_01.qgd,NA,NA,4.694,6.507,8.334,10.021,11.596,13.001,14.345,15.586,16.8,17.971,19.155,19.76,20.561,21.585,22.113,22.651,23.252,23.953
2022-08-12,Alkanes_0.01_3uL_220812_8122022_01.qgd,NA,NA,4.711,6.51,8.277,10.013,11.587,12.986,14.303,15.587,16.8,17.949,19.038,19.907,20.571,21.74,21.975,22.613,23.124,23.955
2022-09-28,Alkanes3uLof10uLmL_9282022_10.qgd,2.293,NA,4.821,6.559,8.295,9.942,11.585,12.987,14.294,15.576,16.787,17.934,19.024,19.894,20.562,21.594,22.096,22.636,23.239,23.934
2023-08-15,ALK3uL0.01_8152023_11.qgd,2.196,3.178,4.721,6.505,8.265,9.995,11.563,13.03,14.3,15.547,16.93,17.9,18.991,19.873,20.575,21.571,22.068,22.608,23.211,23.903
